['mean', 8, 'relu', 'adam', 10, 1164.9283027935028]
['mean', 8, 'relu', 'adam', 10, 81.15686987400055]
['mean', 8, 'relu', 'adam', 50, 75.01362782716751]
['mean', 8, 'relu', 'adam', 100, 68.40797807216644]
['mean', 8, 'relu', 'rmsprop', 10, 48.34122183829546]
['mean', 8, 'relu', 'adam', 10, 81.4120881319046]
['mean', 8, 'relu', 'adam', 50, 74.41724219918251]
['mean', 8, 'relu', 'adam', 100, 68.17574485778809]
['mean', 8, 'relu', 'rmsprop', 10, 47.09869840025902]
['mean', 8, 'relu', 'rmsprop', 50, 32.62875752329826]
['mean', 8, 'relu', 'rmsprop', 100, 26.830422509908676]
['mean', 8, 'relu', 'sgd', 10, 77.61808611631393]
['mean', 8, 'relu', 'sgd', 50, 61.639538609981535]
['mean', 8, 'relu', 'sgd', 100, 45.46498832702637]
['mean', 16, 'relu', 'adam', 10, 79.77285227775573]
['mean', 16, 'relu', 'adam', 50, 71.06997684776783]
['mean', 16, 'relu', 'adam', 100, 61.57670049726963]
['mean', 16, 'relu', 'rmsprop', 10, 34.22511021435261]
['mean', 16, 'relu', 'rmsprop', 50, 26.128308386802672]
['mean', 16, 'relu', 'rmsprop', 100, 25.69696792602539]
['mean', 16, 'relu', 'sgd', 10, 76.95438768148422]
['mean', 16, 'relu', 'sgd', 50, 56.37544387936592]
['mean', 16, 'relu', 'sgd', 100, 38.283789851665496]
['mean', 32, 'relu', 'adam', 10, 79.81690208435059]
['mean', 32, 'relu', 'adam', 50, 65.45014680683613]
['mean', 32, 'relu', 'adam', 100, 49.121980244517324]
['mean', 32, 'relu', 'rmsprop', 10, 26.822758555412292]
['mean', 32, 'relu', 'rmsprop', 50, 25.725470731258394]
['mean', 32, 'relu', 'rmsprop', 100, 25.728270443677904]
['mean', 32, 'relu', 'sgd', 10, 76.79587949275971]
['mean', 32, 'relu', 'sgd', 50, 53.739837999939915]
['mean', 32, 'relu', 'sgd', 100, 32.281795253753664]
['norm', 8, 'relu', 'adam', 10, 80.37525085806847]
['norm', 8, 'relu', 'adam', 50, 73.5834682071209]
['norm', 8, 'relu', 'adam', 100, 69.2221709753573]
['norm', 8, 'relu', 'rmsprop', 10, 48.194648131132126]
['norm', 8, 'relu', 'rmsprop', 50, 32.11146839499474]
['norm', 8, 'relu', 'rmsprop', 100, 29.224706575870513]
['norm', 8, 'relu', 'sgd', 10, 76.9424471449852]
['norm', 8, 'relu', 'sgd', 50, 59.39631764233113]
['norm', 8, 'relu', 'sgd', 100, 42.35860176801682]
['norm', 16, 'relu', 'adam', 10, 79.39527464866639]
['norm', 16, 'relu', 'adam', 50, 69.291624173522]
['norm', 16, 'relu', 'adam', 100, 60.8728059387207]
['norm', 16, 'relu', 'rmsprop', 10, 35.464523974657055]
['norm', 16, 'relu', 'rmsprop', 50, 27.56462378382683]
['norm', 16, 'relu', 'rmsprop', 100, 26.269277778863906]
['norm', 16, 'relu', 'sgd', 10, 75.64079777002334]
['norm', 16, 'relu', 'sgd', 50, 54.58295565754175]
['norm', 16, 'relu', 'sgd', 100, 37.00378551244736]
['norm', 32, 'relu', 'adam', 10, 78.19040959835053]
